Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
RBP1	"Retinol binding protein 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 1193.7;ovary: 1323.5"	"Cell type enhanced"	"Detected in many"		"Ductal cells: 901.8;Endometrial stromal cells: 1048.7;Exocrine glandular cells: 589.5;Granulosa cells: 1572.0;Ovarian stromal cells: 2366.3;Pancreatic endocrine cells: 703.0"	"Region enriched"	"Detected in all"	5	"choroid plexus: 439.5"	0.35	8.4	0.0	0.4	0.3	5.4	3.8	14.9	26.6
RBP2	"Retinol binding protein 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	358	"intestine: 2632.2"	"Cell type enriched"	"Detected in some"	41	"Proximal enterocytes: 7071.7"	"Low region specificity"	"Detected in all"			0.11	0.3	0.0	1.0	1.1	0.0	2.4	0.9	0.2
RBP5	"Retinol binding protein 5"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 431.4;liver: 316.3"	"Cell type enriched"	"Detected in many"	6	"Proximal tubular cells: 2947.6"	"Low region specificity"	"Detected in all"			0.23	0.6	0.0	2.0	1.1	1.8	0.5	0.1	0.1
RBP7	"Retinol binding protein 7"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 388.2;breast: 381.7"	"Cell type enriched"	"Detected in many"	7	"Adipocytes: 3296.7"	"Low region specificity"	"Detected in all"			0.30	0.6	0.0	0.4	0.4	0.9	0.0	12.5	2.1
RBPJ	"Recombination signal binding protein for immunoglobulin kappa J region"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 535.7"	"Low region specificity"	"Detected in all"			0.09	58.8	121.0	78.9	82.3	58.2	201.9	351.9	209.2
RBPMS	"RNA binding protein, mRNA processing factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 211.7;Proximal tubular cells: 241.9"	"Low region specificity"	"Detected in all"			0.14	34.7	8.5	6.2	5.0	68.0	1.9	1.4	24.7
RBSN	"Rabenosyn, RAB effector"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.04	18.6	6.4	21.0	22.9	8.1	15.1	23.4	11.8
RBX1	"Ring-box 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	22.3	267.7	28.9	28.4	14.3	17.5	46.1	174.7
RC3H1	"Ring finger and CCCH-type domains 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.14	30.3	56.4	45.2	41.7	38.5	39.6	63.5	61.0
RC3H2	"Ring finger and CCCH-type domains 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.06	19.8	29.2	37.1	33.6	29.5	33.0	36.6	25.3
RCAN1	"Regulator of calcineurin 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 248.5;parathyroid gland: 438.1"	"Cell type enhanced"	"Detected in all"		"Breast glandular cells: 219.8;Glandular and luminal cells: 516.9;Lymphatic endothelial cells: 230.8"	"Low region specificity"	"Detected in all"			0.06	14.6	78.0	27.4	52.0	15.2	39.1	66.3	149.2
RCAN2	"Regulator of calcineurin 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 192.5;tongue: 173.1"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 245.9;Excitatory neurons: 252.7;Inhibitory neurons: 243.7;Muller glia cells: 169.4;Oligodendrocytes: 274.2;Smooth muscle cells: 140.4"	"Low region specificity"	"Detected in all"			0.17	13.0	0.4	252.7	243.7	44.7	72.2	274.2	0.4
RCAN3	"RCAN family member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"prostate: 32.7"	"Cell type enhanced"	"Detected in many"		"Prostatic glandular cells: 289.8;T-cells: 128.4"	"Low region specificity"	"Detected in all"			0.35	0.0	26.4	1.6	6.4	5.4	0.0	19.7	58.9
RCBTB1	"RCC1 and BTB domain containing protein 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 47.6;Oligodendrocyte precursor cells: 70.7;Oligodendrocytes: 71.5;Rod photoreceptor cells: 41.6"	"Low region specificity"	"Detected in all"			0.06	11.1	3.4	12.6	13.3	22.4	70.7	71.5	15.9
RCBTB2	"RCC1 and BTB domain containing protein 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Microglial cells: 63.5"	"Low region specificity"	"Detected in all"			0.20	8.7	2.0	11.9	16.3	63.5	6.1	12.2	6.4
RCC1	"Regulator of chromosome condensation 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	8	"Late spermatids: 797.6"	"Low region specificity"	"Detected in all"			0.10	1.9	2.4	4.4	4.8	1.8	1.9	2.7	4.1
RCC1L	"RCC1 like"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	11.1	10.7	9.8	10.4	6.3	3.8	12.3	15.2
RCCD1	"RCC1 domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Erythroid cells: 70.4;Oocytes: 89.0"	"Low region specificity"	"Detected in all"			0.16	7.1	3.6	9.3	10.9	3.6	8.0	1.8	2.0
RCHY1	"Ring finger and CHY zinc finger domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.13	26.9	16.9	30.2	30.9	21.5	29.7	38.2	9.3
RCL1	"RNA terminal phosphate cyclase like 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 238.1"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 77.6;Hepatocytes: 196.9"	"Low region specificity"	"Detected in all"			0.05	18.0	10.4	13.6	15.2	34.9	17.0	31.9	8.6
RCN1	"Reticulocalbin 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	5	"epididymis: 644.5"	"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 273.9;Muller glia cells: 238.4"	"Low region specificity"	"Detected in all"			0.11	9.3	13.9	7.7	5.6	8.1	15.6	1.2	56.0
RCN2	"Reticulocalbin 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"epididymis: 313.9"	"Cell type enhanced"	"Detected in all"		"Spermatocytes: 511.9"	"Low region specificity"	"Detected in all"			0.11	53.9	47.7	46.8	68.9	18.8	140.6	58.9	71.3
RCN3	"Reticulocalbin 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 54.4;Fibroblasts: 110.5;Leydig cells: 38.1;Ovarian stromal cells: 45.2;Pancreatic endocrine cells: 59.4;Peritubular cells: 42.2"	"Low region specificity"	"Detected in all"			0.20	4.3	0.8	1.0	1.0	9.8	1.4	0.7	3.1
RCOR1	"REST corepressor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.09	30.7	59.7	38.0	32.4	50.1	20.8	21.9	48.7
RCOR2	"REST corepressor 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 6.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 21.9;Excitatory neurons: 5.7;Extravillous trophoblasts: 4.8"	"Low region specificity"	"Detected in all"			0.32	0.6	0.0	5.7	1.5	0.0	0.9	1.4	0.0
RCOR3	"REST corepressor 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	64.1	22.5	117.9	97.0	47.4	82.5	122.5	22.6
RCSD1	"RCSD domain containing 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 112.5;skeletal muscle: 142.7"	"Cell type enhanced"	"Detected in many"		"B-cells: 269.3;Cardiomyocytes: 81.8;Kupffer cells: 130.2;Lymphatic endothelial cells: 85.7;Macrophages: 83.5;monocytes: 83.3;NK-cells: 111.8;T-cells: 102.9"	"Low region specificity"	"Detected in all"			0.18	0.3	71.9	4.1	0.7	75.1	1.9	0.6	9.3
RDH10	"Retinol dehydrogenase 10"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Collecting duct cells: 171.1;Ionocytes: 210.2;Muller glia cells: 311.5"	"Low region specificity"	"Detected in all"			0.35	3.4	4.9	1.3	1.0	6.3	4.2	1.9	101.0
RDH13	"Retinol dehydrogenase 13"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in all"	5	"Syncytiotrophoblasts: 242.1"	"Low region specificity"	"Detected in all"			0.07	3.7	4.4	9.1	9.6	4.5	4.7	2.7	1.0
RDH14	"Retinol dehydrogenase 14"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.18	0.0	38.0	0.0	0.0	0.0	0.0	0.0	27.7
RDH5	"Retinol dehydrogenase 5"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 91.2;liver: 57.1"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 34.0;Proximal enterocytes: 35.7;Rod photoreceptor cells: 72.3"	"Low region specificity"	"Detected in all"			0.23	0.0	6.2	0.0	0.0	0.0	0.0	0.0	3.0
RDH8	"Retinol dehydrogenase 8"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	37	"retina: 110.9"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 50.6;Cone photoreceptor cells: 101.9;Early spermatids: 65.0;Rod photoreceptor cells: 210.4"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
RDM1	"RAD52 motif containing 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"testis: 11.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 39.1;Late spermatids: 94.5;Spermatocytes: 23.0"	"Low region specificity"	"Detected in all"			0.23	0.0	0.0	0.6	0.3	0.0	0.0	0.4	0.4
RDX	Radixin	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adrenal gland: 150.4"	"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.13	50.8	17.7	26.1	55.2	40.3	64.1	213.5	216.3
REC8	"REC8 meiotic recombination protein"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pituitary gland: 67.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 169.5;Gastric mucus-secreting cells: 76.6;Late spermatids: 79.1;Mesothelial cells: 117.2"	"Low region specificity"	"Detected in all"			0.21	3.4	14.1	3.6	4.8	2.7	5.2	4.3	24.7
RECK	"Reversion inducing cysteine rich protein with kazal motifs"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 61.1;Inhibitory neurons: 68.3;Oligodendrocyte precursor cells: 75.5;Oligodendrocytes: 111.5"	"Low region specificity"	"Detected in all"			0.11	38.1	4.8	61.1	68.3	39.4	75.5	111.5	16.2
RECQL	"RecQ like helicase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.10	5.9	56.0	14.6	9.0	11.6	9.4	17.8	32.8
RECQL4	"RecQ like helicase 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 24.7;testis: 21.8"	"Cell type enhanced"	"Detected in many"		"Oocytes: 17.6;Plasma cells: 9.8;Spermatocytes: 23.7;Spermatogonia: 16.5"	"Low region specificity"	"Detected in all"			0.17	1.9	0.0	1.9	1.5	0.0	0.0	0.7	1.9
RECQL5	"RecQ like helicase 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Gastric mucus-secreting cells: 34.2"	"Low region specificity"	"Detected in all"			0.11	8.7	23.8	6.6	5.6	4.5	7.5	12.3	2.8
REEP2	"Receptor accessory protein 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 126.9;choroid plexus: 100.8;retina: 58.7"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 43.0;Cone photoreceptor cells: 152.9;Excitatory neurons: 49.4;Horizontal cells: 61.1;Inhibitory neurons: 44.2;Rod photoreceptor cells: 59.1"	"Low region specificity"	"Detected in all"			0.10	18.0	0.0	49.4	44.2	2.7	17.9	5.3	0.5
REEP4	"Receptor accessory protein 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"esophagus: 86.8;skin 1: 88.2"	"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 93.0"	"Low region specificity"	"Detected in all"			0.14	4.6	2.8	0.7	0.5	9.8	0.9	2.4	10.0
REEP5	"Receptor accessory protein 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	28.5	109.2	76.0	90.9	34.9	42.0	66.6	118.6
REEP6	"Receptor accessory protein 6"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 211.2;liver: 388.3;testis: 276.0"	"Group enriched"	"Detected in many"	5	"Late spermatids: 3055.8;Proximal enterocytes: 905.4"	"Low region specificity"	"Detected in all"			0.09	2.5	0.0	1.4	1.2	0.0	0.0	1.4	7.4
REG3A	"Regenerating family member 3 alpha"	"Evidence at protein level"	"Group enriched"	"Detected in many"	60	"intestine: 6550.6;pancreas: 11855.9"	"Group enriched"	"Detected in some"	6	"Exocrine glandular cells: 8672.0;Undifferentiated cells: 5194.2"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
REG3G	"Regenerating family member 3 gamma"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	21	"pancreas: 3414.4"	"Group enriched"	"Detected in some"	6	"Exocrine glandular cells: 149.0;Proximal enterocytes: 48.5"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RELA	"RELA proto-oncogene, NF-kB subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	8.7	33.9	5.3	5.7	9.8	7.1	12.8	37.7
RELB	"RELB proto-oncogene, NF-kB subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"granulocytes: 88.7;Langerhans cells: 81.5;monocytes: 110.1;Plasma cells: 80.3"	"Low region specificity"	"Detected in all"			0.18	2.2	40.5	2.9	1.6	3.6	1.4	2.3	28.2
RELCH	"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 126.8;Inhibitory neurons: 93.1;Microglial cells: 82.3;Oligodendrocyte precursor cells: 104.7;Oligodendrocytes: 163.1"	"Low region specificity"	"Detected in all"			0.08	68.7	14.3	126.8	93.1	82.3	104.7	163.1	11.9
RELL1	"RELT like 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 84.7;dendritic cells: 122.2"	"Low region specificity"	"Detected in all"			0.18	15.5	122.2	3.2	2.3	34.9	21.2	11.6	17.3
RELL2	"RELT like 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 36.0;parathyroid gland: 15.6;pituitary gland: 15.2"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 20.4;Excitatory neurons: 27.5;Horizontal cells: 47.2;Inhibitory neurons: 27.7"	"Low region specificity"	"Detected in all"			0.22	4.0	9.2	27.5	27.7	4.5	2.4	2.6	1.1
RELN	Reelin	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 68.5"	"Cell type enhanced"	"Detected in many"		"Inhibitory neurons: 356.4;Lymphatic endothelial cells: 168.9;Schwann cells: 88.0"	"Region enriched"	"Detected in all"	8	"cerebellum: 141.5"	0.50	8.7	0.0	2.5	356.4	2.7	2.8	9.6	88.0
RELT	"RELT TNF receptor"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"bone marrow: 152.9"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 53.0;Langerhans cells: 47.4;Macrophages: 44.7;monocytes: 110.1"	"Low region specificity"	"Detected in all"			0.15	3.4	53.0	3.0	4.3	2.7	1.4	4.4	14.7
REPIN1	"Replication initiator 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	17.0	74.1	12.5	15.2	8.9	16.5	15.5	33.6
REPS1	"RALBP1 associated Eps domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 196.6;Excitatory neurons: 110.5;Inhibitory neurons: 132.2;Oligodendrocyte precursor cells: 93.4"	"Low region specificity"	"Detected in all"			0.07	196.6	21.3	110.5	132.2	45.6	93.4	66.3	29.7
RER1	"Retention in endoplasmic reticulum sorting receptor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 503.1;Syncytiotrophoblasts: 520.2"	"Low region specificity"	"Detected in all"			0.06	22.3	92.6	16.1	16.1	15.2	17.9	24.0	54.8
RERE	"Arginine-glutamic acid dipeptide repeats"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Inhibitory neurons: 358.2;Oligodendrocyte precursor cells: 367.9;Oligodendrocytes: 563.6"	"Low region specificity"	"Detected in all"			0.06	218.3	59.1	301.2	358.2	296.1	367.9	563.6	54.3
RERG	"RAS like estrogen regulated growth inhibitor"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"endometrium 1: 101.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 192.3;Breast glandular cells: 75.4;Inhibitory neurons: 89.7;Secretory cells: 61.6;Smooth muscle cells: 86.1"	"Low region specificity"	"Detected in all"			0.27	192.3	0.0	19.5	89.7	39.4	2.8	1.0	17.1
RERGL	"RERG like"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in some"	5	"Smooth muscle cells: 378.4"	"Low region specificity"	"Detected in all"			0.20	1.9	0.0	0.1	0.1	3.6	0.0	0.2	0.0
RESF1	"Retroelement silencing factor 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lymphoid tissue: 68.5"	"Cell type enhanced"	"Detected in many"		"B-cells: 201.0;NK-cells: 181.7;Ovarian stromal cells: 170.0;T-cells: 264.1"	"Low region specificity"	"Detected in all"			0.16	25.1	82.8	25.4	27.2	43.8	24.1	37.9	32.8
REST	"RE1 silencing transcription factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.11	17.6	54.4	0.1	0.2	11.6	10.4	19.7	35.2
RET	"Ret proto-oncogene"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 11.1;brain: 15.1;parathyroid gland: 19.3"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 47.2;Horizontal cells: 28.3;Lymphatic endothelial cells: 10.1"	"Low region specificity"	"Detected in all"			0.42	1.5	47.2	4.1	8.2	0.9	0.9	0.6	0.2
RETNLB	"Resistin like beta"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	57	"intestine: 223.6"	"Cell type enriched"	"Detected in some"	19	"Intestinal goblet cells: 206.0"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RETREG1	"Reticulophagy regulator 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 97.1;skeletal muscle: 136.8"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 243.8;Early spermatids: 483.0;Glandular and luminal cells: 239.2;Late spermatids: 716.6;Oligodendrocytes: 272.7;Skeletal myocytes: 250.8"	"Low region specificity"	"Detected in all"			0.13	34.4	1.6	93.1	64.4	5.4	17.9	272.7	102.6
